match_id,region,game_creation,game_version,queue_id,team_id,side,win,gold_15,damage_dealt,kills,wards_placed,match_duration_min,damage_per_min
EUW1_7107828727,EUW,1725637664058,14.17.615.2328,420,100,blue,0,5014.4,85843.0,23,83,32.45,2645.392912172573
EUW1_7107828727,EUW,1725637664058,14.17.615.2328,420,200,red,1,6208.6,106486.0,40,52,32.45,3281.540832049306
EUW1_7107879148,EUW,1725640121608,14.17.615.2328,420,100,blue,0,5375.8,81734.0,23,65,25.116666666666667,3254.1738553417385
EUW1_7107879148,EUW,1725640121608,14.17.615.2328,420,200,red,1,6041.6,87035.0,32,48,25.116666666666667,3465.2289316522892
EUW1_7108195427,EUW,1725653557373,14.17.615.2328,420,100,blue,1,5696.4,134049.0,44,96,36.983333333333334,3624.5786390265885
EUW1_7108195427,EUW,1725653557373,14.17.615.2328,420,200,red,0,5148.8,144378.0,33,78,36.983333333333334,3903.86660657954
EUW1_7109000720,EUW,1725715907086,14.17.615.2328,420,100,blue,0,4894.6,111146.0,20,64,34.56666666666667,3215.4098360655735
EUW1_7109000720,EUW,1725715907086,14.17.615.2328,420,200,red,1,5715.4,144947.0,34,97,34.56666666666667,4193.259402121504
EUW1_7109422923,EUW,1725734954100,14.17.615.2328,420,100,blue,1,6917.6,28680.0,17,28,15.98333333333333,1794.3691345151203
EUW1_7109422923,EUW,1725734954100,14.17.615.2328,420,200,red,0,4262.2,18879.0,3,21,15.98333333333333,1181.167883211679
EUW1_7109455192,EUW,1725736289059,14.17.615.2328,420,100,blue,0,5223.0,81229.0,17,31,25.75,3154.5242718446602
EUW1_7109455192,EUW,1725736289059,14.17.615.2328,420,200,red,1,6596.4,96514.0,43,48,25.75,3748.116504854369
EUW1_7120904388,EUW,1726518374210,14.18.616.8335,420,100,blue,1,5347.0,131218.0,37,61,28.81666666666667,4553.545401966454
EUW1_7120904388,EUW,1726518374210,14.18.616.8335,420,200,red,0,5299.2,111943.0,20,58,28.81666666666667,3884.661654135338
EUW1_7125135498,EUW,1726853497092,14.18.618.2357,420,100,blue,1,5528.6,79575.0,27,59,24.433333333333334,3256.8212824010916
EUW1_7125135498,EUW,1726853497092,14.18.618.2357,420,200,red,0,5741.6,78427.0,26,59,24.433333333333334,3209.8362892223736
EUW1_7125181524,EUW,1726855746017,14.18.618.2357,420,100,blue,1,5455.6,184256.0,50,107,41.81666666666667,4406.281387006775
EUW1_7125181524,EUW,1726855746017,14.18.618.2357,420,200,red,0,5421.6,203241.0,35,109,41.81666666666667,4860.28696691909
EUW1_7126080136,EUW,1726926303548,14.18.618.2357,420,100,blue,0,5677.4,175383.0,47,96,42.6,4116.971830985915
EUW1_7126080136,EUW,1726926303548,14.18.618.2357,420,200,red,1,5254.2,212658.0,49,109,42.6,4991.971830985915
EUW1_7129048811,EUW,1727122470877,14.18.618.2357,420,100,blue,1,5831.0,84900.0,29,45,23.883333333333333,3554.780181437544
EUW1_7129048811,EUW,1727122470877,14.18.618.2357,420,200,red,0,5121.8,74729.0,12,61,23.883333333333333,3128.9183531053736
EUW1_7129091945,EUW,1727124186225,14.18.618.2357,420,100,blue,0,4387.8,34891.0,6,46,20.9,1669.4258373205744
EUW1_7129091945,EUW,1727124186225,14.18.618.2357,420,200,red,1,6608.2,59375.0,25,28,20.9,2840.909090909091
EUW1_7129353928,EUW,1727156914266,14.18.618.2357,420,100,blue,1,5105.4,233369.0,50,63,41.63333333333333,5605.340272217774
EUW1_7129353928,EUW,1727156914266,14.18.618.2357,420,200,red,0,5084.8,171167.0,39,88,41.63333333333333,4111.297037630105
EUW1_7129365826,EUW,1727160120291,14.18.618.2357,420,100,blue,1,5800.8,100008.0,28,51,26.6,3759.6992481203006
EUW1_7129365826,EUW,1727160120291,14.18.618.2357,420,200,red,0,6399.8,106952.0,37,69,26.6,4020.751879699248
EUW1_7129372259,EUW,1727162253366,14.18.618.2357,420,100,blue,0,4949.2,49646.0,13,50,25.383333333333333,1955.8502954694682
EUW1_7129372259,EUW,1727162253366,14.18.618.2357,420,200,red,1,5403.4,82286.0,31,69,25.383333333333333,3241.7334208798425
EUW1_7129380363,EUW,1727164176058,14.18.618.2357,420,100,blue,0,4318.6,38859.0,9,38,21.65,1794.8729792147808
EUW1_7129380363,EUW,1727164176058,14.18.618.2357,420,200,red,1,5587.0,60892.0,29,40,21.65,2812.5635103926097
EUW1_7129393418,EUW,1727166079934,14.18.618.2357,420,100,blue,1,4979.8,136333.0,26,67,31.916666666666668,4271.530026109661
EUW1_7129393418,EUW,1727166079934,14.18.618.2357,420,200,red,0,5107.6,99185.0,25,84,31.916666666666668,3107.6240208877284
EUW1_7134137758,EUW,1727536806478,14.19.621.6353,420,100,blue,1,5935.0,75783.0,30,39,23.033333333333335,3290.144717800289
EUW1_7134137758,EUW,1727536806478,14.19.621.6353,420,200,red,0,5454.4,64792.0,15,50,23.033333333333335,2812.9667149059333
EUW1_7134179491,EUW,1727538632095,14.19.621.6353,420,100,blue,1,5893.4,144364.0,52,57,32.36666666666667,4460.267765190525
EUW1_7134179491,EUW,1727538632095,14.19.621.6353,420,200,red,0,6113.4,116342.0,34,78,32.36666666666667,3594.5005149330586
EUW1_7134229711,EUW,1727541102402,14.19.621.6353,420,100,blue,0,5334.8,64669.0,18,51,23.483333333333334,2753.8254080908446
EUW1_7134229711,EUW,1727541102402,14.19.621.6353,420,200,red,1,5835.0,74770.0,26,49,23.483333333333334,3183.960255500355
